品目,価格,学割
本日のランチ,470,0
ボディケアランチ,490,0
ツインハンバーグランチ,410,0
チキンカツランチ,410,0
鶏唐揚げ&焼肉ランチ,410,0
コロッケ&アジフライランチ,330,0
本日のアラカルトA,390,0
本日のアラカルトB,400,0
本日のアラカルトC,420,0
特選唐揚丼,410,0
ミートソースパスタ,380,0
本日のパスタ,420,0
カレーライス,320,0
カツカレー,460,0
唐揚カレー,410,0
温玉カレー,390,0
チーズカレー,380,0
醬油ラーメン,320,0
塩ラーメン,320,0
とんこつラーメン,340,0
特選麺A,430,0
特選麺B,480,0
かけそば,220,0
かき揚げそば,300,0
ちくわ天そば,290,0
カレーそば,290,0
きつねそば,270,0
たぬきそば,270,0
温玉そば,270,0
山菜そば,270,0
おすすめそば,330,0
かけうどん,220,0
かき揚げうどん,330,0
ちくわ天うどん,290,0
カレーうどん,290,0
きつねうどん,270,0
たぬきうどん,270,0
温玉うどん,270,0
山菜うどん,270,0
おすすめうどんA,330,0
おすすめうどんB,420,0
武蔵野うどん,400,0
本日のフェア,500,0
朝食,320,0
本日のランチ,320,1
唐揚げ丼,260,1
カレーライス,170,1
朝食,170,1
60円券・唐揚げ、コロッケ、竹輪,60,0
70円券・温泉たまご,70,0
100円券・おにぎり・小鉢,100,0
150円券・鶏天,150,0
大盛券,50,0
ライス,130,0
ライス(少),90,0
味噌汁,40,0
サラダ,100,0
